userid venueid
31138253 4a43bcb7f964a520bba61fe3
16055875 49e79ffdf964a520e3641fe3
15189840 4f75f75de4b06bdc2f7afef6
15189840 4bb7a106cf2fc9b6e5869e02
15189840 4c6586789cb82d7fc10e8ed2
15189840 4aa37fb3f964a520f64320e3
12154528 508d71fae4b086e59ac0dc1a
29535130 4b9e8837f964a52076ec36e3
29535130 4b632a43f964a520a3672ae3
29535130 4ed93b1c9a5286d91deadd5c
29535130 49bdcdabf964a5209b541fe3
29535130 4bb77e361261d13a9a59e798
29535130 4bd610266798ef3b8583648d
29535130 4aea6a63f964a52073bb21e3
29535130 4d80c441360b224b4befdf56
337516 4a2ef250f964a5208b981fe3
398295 537124ae11d2759d4d565166
398295 4cae5172cbab236a20768f73
20286981 4acf3441f964a520b8d220e3
20286981 4bb52afeef159c74446274f7
20286981 4b0dc7bcf964a520035023e3
20286981 45d9dac5f964a520f2421fe3
53684 4085b980f964a52093f21ee3
53684 40b7d280f964a52091001fe3
