venueid name lat longt rating address
4838dd15f964a520ff4f1fe3 Costco 37.3569228313 -121.93854332 8.32 1601_Coleman_Ave
4c2d22681683b713d04826ec Il_Davide_Cucina_Italiana 37.9726952038 -122.528332556 6.21 901_A_St
4b685a67f964a52059732be3 Goodwill 38.281787618 -122.293125427 0 1683_W_Imola_Ave
507f06e9e4b0d2368fcbada4 Fraunces_Tavern 40.7034863438 -74.0113723042 8.96 54_Pearl_St
4b84418cf964a520ba2a31e3 Little_Shubert_Theatre 40.7589116737 -73.9937353134 8.03 422_W_42nd_St
4f32764a19836c91c7da26b0 1_Knickerbocker 40.7076612101 -73.9319801331 8.0 1_Knickerbocker_Ave
4f9553a3e4b03828ff18c30f Yale_Physicans_Building 41.3026428602 -72.9360877759 0 800_Howard_Ave
485f7eecf964a520da501fe3 Levain_Bakery 40.7798427593 -73.9805603027 9.7 167_W_74th_St
4b7a9666f964a52078322fe3 Pamela's_P&G_Diner 40.4412042508 -79.9574371498 8.45 3703_Forbes_Ave
4ad4c00df964a5205ded20e3 Hampton_Pittsburgh-university_Center 40.4360054453 -79.9631309509 7.01 3315_Hamlet_St.
4ad4c00df964a5205ded20e3 Hampton_Pittsburgh-university_Center 40.4360054453 -79.9631309509 7.01 3315_Hamlet_St.
43a52546f964a520532c1fe3 John_F._Kennedy_International_Airport_(JFK) 40.645089356 -73.7845230103 9.14 at_JFK_Access_Rd
4f3a6aaae4b06ff10308976f The_Law_Offices_Of_Alan_Weinreb 40.8057374761 -73.5189052775 0 address
4bbb76ff9858d13a246033a2 LiFT 40.802844514 -73.6518474536 0 55_Lumber_Rd
4a7cbb2ef964a52060ed1fe3 Louie's_Oyster_Bar_&_Grille 40.8301162178 -73.7022811174 7.88 395_Main_St
4a43bcb7f964a520bba61fe3 Brooklyn_Bridge 40.7059532659 -73.9965677261 9.57 Brooklyn_Bridge
49e79ffdf964a520e3641fe3 The_Capital_Grille 40.7510739 -73.97508562 8.89 155_E._42nd_St.
4bb7a106cf2fc9b6e5869e02 Pivo 55.9530683782 -3.18680763245 0 2-6_Calton_Rd.
4c6586789cb82d7fc10e8ed2 The_Corinthian 55.85975506 -4.2496919632 7.32 191_Ingram_St.
4aa37fb3f964a520f64320e3 Edinburgh_Castle 55.948430872 -3.19981098175 9.28 Castlehill
508d71fae4b086e59ac0dc1a Unicorn_Palace 40.7879604311 -73.9782537325 0 address
4b9e8837f964a52076ec36e3 Denny's 34.200908402 -118.419490457 0 13136_Sherman_Way
4b632a43f964a520a3672ae3 Emerald_Knights_Comics_and_Games 34.173046 -118.354703 7.27 4116_W_Burbank_Blvd
4ed93b1c9a5286d91deadd5c Moby's_Coffee_&_Tea_Company 34.1737748864 -118.36115313 8.04 5668_Cahuenga_Blvd
49bdcdabf964a5209b541fe3 The_Stand 34.1597588882 -118.503744972 8.5 17000_Ventura_Blvd
4bb77e361261d13a9a59e798 Hungry_Fox 34.2014198019 -118.42460201 7.25 13359_Sherman_Way
4bd610266798ef3b8583648d Continental_Art_Supplies 34.1989400029 -118.536287704 7.16 7041_Reseda_Blvd
4aea6a63f964a52073bb21e3 North_Hollywood_Diner 34.1650349728 -118.378246257 7.58 11329_Magnolia_Blvd
4d80c441360b224b4befdf56 Calvert_Stages 34.1813328551 -118.459766745 0 14955_Calvert_St
4a2ef250f964a5208b981fe3 The_Alley 37.8129869421 -122.247062541 8.34 3325_Grand_Ave
537124ae11d2759d4d565166 Robin_Hood_Foundation_Benefit_2014 40.7578133549 -74.0020186524 0 address
4cae5172cbab236a20768f73 BAM_Howard_Gilman_Opera_House 40.6867074009 -73.9777708054 8.62 30_Lafayette_Ave
4acf3441f964a520b8d220e3 Three_Floyds_Brewery_&_Pub 41.5353743701 -87.5164541602 9.13 9750_Indiana_Pkwy
4bb52afeef159c74446274f7 W_Austin 30.26527596 -97.7466917038 9.48 200_Lavaca_St
4b0dc7bcf964a520035023e3 Star_Bar 30.2699861322 -97.748484537 8.13 600_W_6th_St
45d9dac5f964a520f2421fe3 Ranch_616 30.270533 -97.74838248 8.88 616_Nueces_St
4085b980f964a52093f21ee3 Thee_Parkside 37.765108 -122.399782 9.08 1600_17th_St
40b7d280f964a52091001fe3 Mezzanine 37.7825092918 -122.408081783 9.03 444_Jessie_St
